date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:24	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:24%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-GenerateOrdering.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-GenerateOrdering.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:25	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:25%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-GeneratePredicate.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-GeneratePredicate.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:25	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:25%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-GenerateSafeProjection.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-GenerateSafeProjection.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:25	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:25%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-BytesToBytesMap.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-BytesToBytesMap.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:25	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:25%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-vectorized-query-execution.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-vectorized-query-execution.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:26	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:26%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-ColumnarBatch.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-ColumnarBatch.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:26	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:26%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-data-source-api-v2.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-data-source-api-v2.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:26	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:26%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-subqueries.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-subqueries.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:27	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:27%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-hint-framework.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-hint-framework.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:27	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:27%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-adaptive-query-execution.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/spark-sql-adaptive-query-execution.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
